Ex_MeV,component
7.50452468234204,G5
11.340450358045066,G10
10.258283381311395,G9
9.967656729711827,G9
6.007492203167147,G3
6.133481027073012,G4
6.931978427305294,G6
9.450776624394086,G8
8.423560975027385,G6
8.5122109359923,G6
12.5341447105759,G12
9.852037748226003,G9
6.355731532704244,G5
8.702513288684893,G8
5.694608563373154,G4
9.145182934803355,G7
10.427779389860978,G10
9.89135847257109,G8
10.744229476319294,G11
8.161612400967677,G5
9.19407978593275,G7
9.944157496342722,G9
6.869124470419762,G5
10.445158178475419,G10
8.359796216267661,G7
4.353753455476116,G3
13.516672093456833,BKG
9.238249155790927,G8
10.772266921250905,G10
10.12058849014899,G9
7.395105090310282,G5
10.801658152615092,G10
11.90631961713936,G11
10.964206811348038,G11
9.072146514117316,G7
8.091695580948983,G7
5.884470173939454,G4
9.049328906965814,G7
10.331505874318914,G10
11.881760359893878,G11
8.551979579716582,BKG
11.149467917725751,G11
10.401832104605447,G8
3.008930981133609,G1
10.97882184425308,G10
7.580785581793793,G6
11.652477787415469,G12
12.930222735785353,G12
10.735780353294452,G11
6.169614434467283,G3
6.368869902200355,G4
10.248892169594297,G10
9.147630106247993,G7
6.3269829865001075,G4
5.739210797405254,G4
11.49916138143448,G11
6.872838301341153,G6
9.56183170807609,G7
10.600087756359454,G10
11.618028702659133,G11
3.296299332307027,G1
7.809828229452757,G6
9.599943993846392,G9
8.35135333348996,G7
12.5349855927335,BKG
8.827794868523396,G6
3.714984764337639,G2
11.711137903443925,G10
9.656347286710758,G8
9.066650456549601,G8
10.50338052295741,G10
4.578763132231493,G2
9.691624454578546,G10
7.405253012024109,G5
8.553305077902847,G7
11.81515645178181,G10
10.348095242412032,G8
9.313337472000695,G9
11.424837362895676,G9
6.1209648424268375,G5
6.5625830701243,G4
4.080778770934689,G2
6.226130509382717,BKG
6.577244269570475,G5
10.741991875707967,G9
10.463819172831315,G9
6.647671273407901,G5
2.270103703272521,BKG
6.531152456935702,G5
7.419501261690666,G6
4.135595962098072,G2
6.721907084765773,G5
9.92615057913403,G10
8.458232311305732,G6
4.933027728958129,G3
7.697556194889665,G6
9.58721101729095,G8
9.788450737153966,G9
8.6473763009394,G8
11.43255343293892,G10
9.018283492617716,G7
0.06899023830496342,BKG
9.486397693977672,G8
9.393394442252765,G8
8.764723730279828,G7
8.199067494046341,G6
4.250094609075447,G2
11.375966018422947,G10
10.143119561824127,G8
10.31545991249486,G9
3.9450777865631474,BKG
4.681059393783163,G3
10.261044823933496,G10
11.18344478043552,G10
5.090083472478159,G4
6.229163405415082,G4
5.363031366109914,G2
9.428906169419143,G9
11.02802627576115,G9
7.488575329930335,G5
8.460895232467069,G8
8.230809915141592,G7
5.455114449589023,G4
8.964531924917972,G8
6.260896124612557,G4
10.279766810883524,G10
10.611512616081313,G9
10.059325184005429,G8
9.658073868620075,G8
11.594918844398501,G10
10.420604713186787,G9
5.413103080459123,G4
5.368881047385697,G3
10.225601967885792,G10
5.127335528446119,G3
9.440265144724458,G8
9.922094222987354,G9
10.193383506930651,G9
10.369929955369212,G10
9.479243798062114,G7
9.844136854315652,G9
10.142933325190754,G7
10.455262109514665,G11
6.723054011398719,G5
11.295091890421421,G11
9.125915570517897,G9
7.689035964064501,G6
10.643356548964901,G10
7.774258753338027,G7
6.828879252519902,G5
9.908887857155644,G9
7.9336958911691875,G6
9.900427422513001,G9
12.282021735702735,G12
9.412297047625735,G9
5.854132944496006,G4
4.534462695199,G2
11.223422429922504,G11
5.725550043224584,G3
10.57328806633107,G11
7.9748990093576655,G6
5.8224767735917,G5
12.250940053627325,G12
4.0331333370174045,G2
1.0011463851052007,BKG
10.571824990552894,G10
5.4824400077794335,G4
4.935280962637194,G3
8.965359102576144,G7
10.113839160948785,G9
6.302728316446952,G4
7.905865974459617,G7
2.4276928031853524,G1
7.994480941392744,G6
9.462787986818377,G9
11.166433078487698,G10
8.161500734156293,G6
5.1838203890097345,G4
4.701656136349612,G3
9.841155596833193,G8
10.281079509539113,G10
8.776666929976143,G7
7.851387935023075,G6
8.201652867122718,G7
8.972030717693167,G7
7.285646144437327,G5
7.648190837416335,G6
9.226409793420622,G9
5.5570036208115585,G3
8.151256983223123,G7
6.785253224044043,G4
5.3927672372374,G4
10.63476909058948,G11
4.9233188806165735,G3
10.880522380509154,G10
9.270644210650135,G9
9.29736343132039,G8
10.854263194447652,G11
9.887073165983972,G9
9.587134684587044,G8
4.620270348214055,G2
8.373413425582601,G7
10.836432581399556,G9
3.2315470902110244,G1
9.778761796306513,G8
8.40673251220842,G7
10.845453629712846,G10
7.957020596261296,G8
9.614812319950794,G8
8.675912508564798,G8
8.099534002937197,G7
7.007648512244353,G6
12.390479160933014,G12
9.655764269985639,G8
9.20620590576002,G8
6.773641325790729,G5
6.012024554403266,G3
9.90814201033288,G10
4.143891743406533,G2
10.875769860340437,G11
3.164772167300224,G1
5.456419382480945,G2
9.175502049065456,G7
9.714647079106534,G8
8.861890695434786,G7
7.659045457278772,G7
9.131058953643668,G7
2.3691969146747884,G1
6.855734121953197,G4
6.118295444590801,G3
10.053919609846751,G9
8.334879106929273,G6
9.476179098243486,G8
9.37391524294737,G8
10.885627750208934,G9
8.796817541448403,G8
9.511034292644942,G8
6.703710776156259,G5
6.738466549578289,G6
8.894892696103051,G8
11.010067718989683,G10
4.451601320226338,G3
10.421167405263752,G10
10.802552725565837,G10
8.642527415547903,G6
7.288794341906355,G6
8.399661017172944,G5
10.073185796426115,G8
10.099072569772797,G9
7.9956839411471465,G6
8.486321504083875,G7
9.335639936840769,G8
9.682707403838242,G8
9.399919204353854,G10
6.853348908446379,G5
7.981287418805383,G7
6.568246755143859,G5
12.580951023350817,G12
13.069800741295998,BKG
11.39362518885984,G11
10.874032050860421,G10
10.285061560691956,G9
9.581858552284983,G8
10.431963782224415,G11
8.881611816392427,G7
10.353770398092339,G9
10.405532163612605,G9
8.710242148922429,G7
7.888203248424555,G6
11.167088036320635,G11
7.168646986936706,G5
12.855145311917518,G12
9.238116364358024,G8
3.695345614121985,G2
7.442450075173134,G5
10.576397101717744,G10
10.53533425741462,G10
4.33473506655797,G2
8.532261957088487,G7
8.524480108082871,G7
5.094195337487752,G3
5.448959864429116,G3
6.109470354199776,G5
10.547628413301581,G10
6.376255516844359,G5
8.077401595886814,G6
8.302983031751163,G7
10.712065870827946,G9
9.757854507796475,G8
6.5119296523831585,G4
9.43507928823583,G8
4.324140235053987,G2
10.500077789581045,G9
10.018741436164007,G10
8.513080603395705,G7
7.3195419075803025,G6
10.66596948423294,BKG
4.269915519672245,G3
10.68646899521662,G10
6.091260987475208,G5
11.0011085656775,G9
9.682412725380278,G8
5.37129651090082,G3
6.1587244554099305,G4
4.190838598152549,G3
5.0282720816650945,G3
10.546172737553125,G10
7.523235266837746,G6
8.674681342271851,G8
6.647880655949154,G6
10.693289276473793,G9
7.297779890844341,G6
9.196571863878788,G8
9.308171361881525,G8
9.996382837148056,G10
9.766950155337103,G7
9.257033667555106,G7
9.319888307143804,G8
5.8592091534365895,G4
8.011389621651576,G6
11.616118105388143,G10
6.26693884743657,G3
9.622279339004754,G7
9.424254764767518,G8
9.76487829908241,G8
9.438193707656549,G10
6.909509207386951,G4
4.887570255338372,G3
8.104877978456349,G6
9.922261955569379,G10
9.680286386904838,G9
7.763818773514685,G6
8.96171679810203,G8
10.10608111784725,G8
6.584404753226859,G5
8.486453709818328,G7
9.616055643726192,G8
9.759622695917363,G7
7.531811867160013,G6
13.002389861196889,G12
6.37533152484504,G4
5.0544414741834185,G3
9.10887043128966,G8
9.921250312667201,G9
8.299478009748006,G7
4.189107861386285,G3
3.715981799966916,G1
11.266595566725709,G11
9.235964141051257,G8
0.36711465871721205,BKG
10.018407757244095,G8
2.9005202988257404,G1
8.953486798564755,G8
8.185670474424454,G7
9.039251676695296,G9
9.473636984278475,G8
10.193516129366769,G9
6.771104753752468,G5
9.880664564347601,G9
8.885318228758994,G7
10.838948788732964,G10
9.788618632182734,G10
11.83919442926593,G12
7.562238525722071,G4
5.37327884993443,G5
11.328310775677819,G11
4.873538993909726,G4
8.05501021771294,G6
5.704951026657284,G4
7.733951050123138,G6
8.104153147660943,G6
6.18735397020826,G3
8.82262984268216,G7
6.642883497664326,BKG
9.975831073847662,G9
6.986462070842645,G6
11.734253101157366,G11
12.115404532812754,G12
7.711948242810361,G5
10.98134871828784,G7
8.866584017631238,G7
13.18853915563065,BKG
7.210786141765578,G6
10.103514252219785,G10
9.107539197206803,G8
11.052902976811131,G10
8.531288886244106,G7
8.165021991494417,G6
6.372242211027422,G4
8.286182499669628,G8
3.8623848347518885,G2
8.348138001960736,G6
10.123185055519796,BKG
9.579701542716936,G8
10.641087669028341,G10
9.848910183089751,G8
9.279752024303216,G8
10.190736213667055,G10
7.0231954885889145,G5
8.778039312792933,G7
9.772766272311106,G9
5.439163780989806,G4
7.6930251737579,G6
8.911018381258987,G9
10.899359505273132,G9
8.924109239111226,G7
11.265177098271405,G9
5.973685996012913,G4
9.028145883502702,G7
9.562530552684601,G9
8.87337396517527,G7
4.551149316824358,G3
9.644326679770138,G8
5.688887593227292,G4
4.265885195760189,G3
4.931198863706585,G3
3.7665994654962014,G2
9.989230388260642,G10
5.474071861360028,G4
10.782329451050222,G10
7.65785362611928,G6
5.424628004999403,G4
7.4426558077798015,G7
7.230867471171658,G5
10.877932148865192,G9
7.3334568129818605,G6
11.551209531501867,G10
7.495748949088478,G6
9.00379740860514,BKG
8.048965199654647,G7
10.48974433746486,G10
9.831378064172824,G9
10.510876187676061,G11
10.545573412427608,G10
8.429432459736182,G6
8.964234462604049,G6
6.74711439407169,G6
10.56423188164541,G10
10.59658891567652,G9
9.505783027957438,G9
9.038690276559983,G8
